Date : 2025-09-21 10:01:01
Directory : /home/zougmore/annuaire5
Total : 292 files,  34623 codes, 3016 comments, 3406 blanks, all 41045 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/zougmore/annuaire5/app/Console/Commands/CleanupNotifications.php                                                | PHP        |         11 |         14 |          6 |         31 |
| /home/zougmore/annuaire5/app/Console/Commands/CreateLeaveReminders.php                                                | PHP        |         11 |         14 |          6 |         31 |
| /home/zougmore/annuaire5/app/Console/Commands/GenerateLeaveReports.php                                                | PHP        |         11 |         14 |          6 |         31 |
| /home/zougmore/annuaire5/app/Console/Commands/InitialiserQuotasAnnuels.php                                            | PHP        |         35 |          0 |         13 |         48 |
| /home/zougmore/annuaire5/app/Console/Commands/MakeServiceCommand.php                                                  | PHP        |         11 |         14 |          7 |         32 |
| /home/zougmore/annuaire5/app/Console/Commands/ResetLeaveQuotas.php                                                    | PHP        |         17 |         13 |          7 |         37 |
| /home/zougmore/annuaire5/app/Console/Commands/SendScheduledNotifications.php                                          | PHP        |         11 |         14 |          6 |         31 |
| /home/zougmore/annuaire5/app/Console/Commands/UpdateLeaveQuotas.php                                                   | PHP        |         11 |         14 |          6 |         31 |
| /home/zougmore/annuaire5/app/Console/Kernel.php                                                                       | PHP        |         35 |         12 |         10 |         57 |
| /home/zougmore/annuaire5/app/Exports/RapportCompletExport.php                                                         | PHP        |         20 |          0 |          5 |         25 |
| /home/zougmore/annuaire5/app/Exports/RapportsExport.php                                                               | PHP        |         80 |          6 |         14 |        100 |
| /home/zougmore/annuaire5/app/Http/Controllers/Admin/AdminDashboardController.php                                      | PHP        |         97 |         56 |         23 |        176 |
| /home/zougmore/annuaire5/app/Http/Controllers/Admin/AdminUserController.php                                           | PHP        |        192 |         18 |         41 |        251 |
| /home/zougmore/annuaire5/app/Http/Controllers/Admin/PlanningController.php                                            | PHP        |         12 |          1 |          5 |         18 |
| /home/zougmore/annuaire5/app/Http/Controllers/Admin/SettingsController.php                                            | PHP        |        195 |         18 |         38 |        251 |
| /home/zougmore/annuaire5/app/Http/Controllers/Admin/StatistiquesController.php                                        | PHP        |         19 |          0 |          5 |         24 |
| /home/zougmore/annuaire5/app/Http/Controllers/AdminDashboardController.php                                            | PHP        |         44 |          6 |         14 |         64 |
| /home/zougmore/annuaire5/app/Http/Controllers/AdminUserController.php                                                 | PHP        |        173 |         12 |         48 |        233 |
| /home/zougmore/annuaire5/app/Http/Controllers/AgentDashboardController.php                                            | PHP        |        115 |         23 |         25 |        163 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/AuthenticatedSessionController.php                                 | PHP        |         53 |         26 |         18 |         97 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/ConfirmPasswordController.php                                      | PHP        |         13 |         20 |          7 |         40 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/ConfirmablePasswordController.php                                  | PHP        |         28 |          6 |          7 |         41 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/EmailVerificationNotificationController.php                        | PHP        |         16 |          3 |          6 |         25 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/EmailVerificationPromptController.php                              | PHP        |         15 |          3 |          4 |         22 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/ForgotPasswordController.php                                       | PHP        |          8 |         10 |          5 |         23 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/LdapLoginController.php                                            | PHP        |        142 |         23 |         33 |        198 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/LoginController.php                                                | PHP        |         29 |          2 |          6 |         37 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/NewPasswordController.php                                          | PHP        |         41 |         14 |          8 |         63 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/PasswordController.php                                             | PHP        |         21 |          3 |          6 |         30 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/PasswordResetLinkController.php                                    | PHP        |         27 |         11 |          7 |         45 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/RegisterController.php                                             | PHP        |         47 |          1 |          9 |         57 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/RegisteredUserController.php                                       | PHP        |         34 |          8 |          9 |         51 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/ResetPasswordController.php                                        | PHP        |          9 |         15 |          6 |         30 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/VerificationController.php                                         | PHP        |         26 |         22 |         12 |         60 |
| /home/zougmore/annuaire5/app/Http/Controllers/Auth/VerifyEmailController.php                                          | PHP        |         19 |          3 |          6 |         28 |
| /home/zougmore/annuaire5/app/Http/Controllers/AuthController.php                                                      | PHP        |         82 |          0 |         17 |         99 |
| /home/zougmore/annuaire5/app/Http/Controllers/Controller.php                                                          | PHP        |          9 |          0 |          4 |         13 |
| /home/zougmore/annuaire5/app/Http/Controllers/DashboardController.php                                                 | PHP        |         10 |          0 |          3 |         13 |
| /home/zougmore/annuaire5/app/Http/Controllers/DemandeController.php                                                   | PHP        |        351 |         89 |         89 |        529 |
| /home/zougmore/annuaire5/app/Http/Controllers/DrhController.php                                                       | PHP        |        321 |         71 |         75 |        467 |
| /home/zougmore/annuaire5/app/Http/Controllers/HomeController.php                                                      | PHP        |         24 |          7 |          5 |         36 |
| /home/zougmore/annuaire5/app/Http/Controllers/LeaveController.php                                                     | PHP        |         36 |          0 |          6 |         42 |
| /home/zougmore/annuaire5/app/Http/Controllers/NotificationController.php                                              | PHP        |         34 |          1 |         12 |         47 |
| /home/zougmore/annuaire5/app/Http/Controllers/ParametreController.php                                                 | PHP        |         46 |          6 |         14 |         66 |
| /home/zougmore/annuaire5/app/Http/Controllers/PresidentDashboardController.php                                        | PHP        |        197 |         86 |         62 |        345 |
| /home/zougmore/annuaire5/app/Http/Controllers/ProfileController.php                                                   | PHP        |         61 |         18 |         20 |         99 |
| /home/zougmore/annuaire5/app/Http/Controllers/RapportController.php                                                   | PHP        |        172 |         35 |         31 |        238 |
| /home/zougmore/annuaire5/app/Http/Controllers/ResponsableController.php                                               | PHP        |        242 |        116 |         60 |        418 |
| /home/zougmore/annuaire5/app/Http/Controllers/SgController.php                                                        | PHP        |        197 |         86 |         62 |        345 |
| /home/zougmore/annuaire5/app/Http/Controllers/TraitementController.php                                                | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Http/Controllers/TypeDemandeController.php                                               | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Http/Controllers/UserController.php                                                      | PHP        |         36 |          2 |          9 |         47 |
| /home/zougmore/annuaire5/app/Http/Kernel.php                                                                          | PHP        |         59 |         10 |          6 |         75 |
| /home/zougmore/annuaire5/app/Http/Middleware/AdminMiddleware.php                                                      | PHP        |         14 |          0 |          5 |         19 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckCanProcessRequest.php                                               | PHP        |         27 |          4 |          7 |         38 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckDRH.php                                                             | PHP        |         22 |          2 |          7 |         31 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckDRHPermissions.php                                                  | PHP        |         28 |          2 |          8 |         38 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckLeavePeriod.php                                                     | PHP        |         16 |          5 |          4 |         25 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckLeaveQuotas.php                                                     | PHP        |         18 |          5 |          6 |         29 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckResponsible.php                                                     | PHP        |         19 |          1 |          6 |         26 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckRole.php                                                            | PHP        |         48 |         18 |          8 |         74 |
| /home/zougmore/annuaire5/app/Http/Middleware/CheckUserStatus.php                                                      | PHP        |         17 |          5 |          5 |         27 |
| /home/zougmore/annuaire5/app/Http/Middleware/DrhMiddleware.php                                                        | PHP        |         15 |          0 |          5 |         20 |
| /home/zougmore/annuaire5/app/Http/Middleware/RedirectBasedOnRole.php                                                  | PHP        |         21 |          1 |          7 |         29 |
| /home/zougmore/annuaire5/app/Http/Middleware/RedirectIfAuthenticatedByRole.php                                        | PHP        |         24 |          0 |          7 |         31 |
| /home/zougmore/annuaire5/app/Http/Middleware/RoleMiddleware.php                                                       | PHP        |         15 |          0 |          6 |         21 |
| /home/zougmore/annuaire5/app/Http/Middleware/ShareNotifications.php                                                   | PHP        |         18 |          0 |          9 |         27 |
| /home/zougmore/annuaire5/app/Http/Middleware/ValidateProfilePhoto.php                                                 | PHP        |         12 |          5 |          4 |         21 |
| /home/zougmore/annuaire5/app/Http/Requests/Auth/LoginRequest.php                                                      | PHP        |         51 |         21 |         14 |         86 |
| /home/zougmore/annuaire5/app/Http/Requests/ProfileUpdateRequest.php                                                   | PHP        |         37 |          8 |          4 |         49 |
| /home/zougmore/annuaire5/app/Http/Requests/StoreLeaveRequest.php                                                      | PHP        |         36 |          8 |          7 |         51 |
| /home/zougmore/annuaire5/app/Jobs/ProcessScheduledNotifications.php                                                   | PHP        |         14 |          8 |          6 |         28 |
| /home/zougmore/annuaire5/app/Models/Conge.php                                                                         | PHP        |         80 |          3 |         16 |         99 |
| /home/zougmore/annuaire5/app/Models/Demande.php                                                                       | PHP        |        222 |          8 |         50 |        280 |
| /home/zougmore/annuaire5/app/Models/Direction.php                                                                     | PHP        |         21 |          6 |          6 |         33 |
| /home/zougmore/annuaire5/app/Models/Historique.php                                                                    | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Models/Leave/LeaveCalculator.php                                                         | PHP        |         12 |          0 |          1 |         13 |
| /home/zougmore/annuaire5/app/Models/Leave/LeaveNotifier.php                                                           | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Models/Leave/LeaveValidator.php                                                          | PHP        |         17 |          0 |          4 |         21 |
| /home/zougmore/annuaire5/app/Models/LeavePeriod.php                                                                   | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/app/Models/LeaveSetting.php                                                                  | PHP        |         21 |          1 |          4 |         26 |
| /home/zougmore/annuaire5/app/Models/LeaveType.php                                                                     | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/app/Models/Notification.php                                                                  | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Models/Parametre.php                                                                     | PHP        |         34 |          4 |          6 |         44 |
| /home/zougmore/annuaire5/app/Models/Poste.php                                                                         | PHP        |         11 |          0 |          5 |         16 |
| /home/zougmore/annuaire5/app/Models/QuotaUtilisateur.php                                                              | PHP        |         49 |          8 |         12 |         69 |
| /home/zougmore/annuaire5/app/Models/Rapport.php                                                                       | PHP        |         86 |          3 |         15 |        104 |
| /home/zougmore/annuaire5/app/Models/ScheduledNotification.php                                                         | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/app/Models/SystemSetting.php                                                                 | PHP        |        155 |          5 |         38 |        198 |
| /home/zougmore/annuaire5/app/Models/Traitement.php                                                                    | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Models/TypeConge.php                                                                     | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/app/Models/TypeDemande.php                                                                   | PHP        |          0 |          0 |          1 |          1 |
| /home/zougmore/annuaire5/app/Models/User.php                                                                          | PHP        |        214 |         24 |         40 |        278 |
| /home/zougmore/annuaire5/app/Models/UserLeaveQuota.php                                                                | PHP        |          6 |          1 |          4 |         11 |
| /home/zougmore/annuaire5/app/Notifications/DemandeNotification.php                                                    | PHP        |         38 |         12 |          8 |         58 |
| /home/zougmore/annuaire5/app/Notifications/DemandeSoumise.php                                                         | PHP        |         39 |         18 |         10 |         67 |
| /home/zougmore/annuaire5/app/Notifications/DemandeTraitee.php                                                         | PHP        |         39 |         17 |          7 |         63 |
| /home/zougmore/annuaire5/app/Notifications/LeaveReminderNotification.php                                              | PHP        |         29 |         18 |          8 |         55 |
| /home/zougmore/annuaire5/app/Notifications/NotificationGenerale.php                                                   | PHP        |         29 |         18 |          8 |         55 |
| /home/zougmore/annuaire5/app/Policies/DemandePolicy.php                                                               | PHP        |         25 |         13 |          6 |         44 |
| /home/zougmore/annuaire5/app/Policies/RapportPolicy.php                                                               | PHP        |         46 |         29 |         11 |         86 |
| /home/zougmore/annuaire5/app/Providers/AppServiceProvider.php                                                         | PHP        |         22 |         11 |         11 |         44 |
| /home/zougmore/annuaire5/app/Providers/AuthServiceProvider.php                                                        | PHP        |         16 |          9 |          5 |         30 |
| /home/zougmore/annuaire5/app/Providers/RouteServiceProvider.php                                                       | PHP        |         45 |          9 |         10 |         64 |
| /home/zougmore/annuaire5/app/Providers/ServiceServiceProvider.php                                                     | PHP        |         15 |          8 |          5 |         28 |
| /home/zougmore/annuaire5/app/Services/CongeService.php                                                                | PHP        |        162 |         30 |         34 |        226 |
| /home/zougmore/annuaire5/app/Services/LdapAuthService.php                                                             | PHP        |        143 |         21 |         30 |        194 |
| /home/zougmore/annuaire5/app/Services/LeaveService.php                                                                | PHP        |         44 |         10 |          9 |         63 |
| /home/zougmore/annuaire5/app/Services/LeaveValidationService.php                                                      | PHP        |         18 |          1 |          4 |         23 |
| /home/zougmore/annuaire5/app/Services/NotificationService.php                                                         | PHP        |        184 |          7 |         36 |        227 |
| /home/zougmore/annuaire5/app/Services/RoleService.php                                                                 | PHP        |         37 |          0 |          8 |         45 |
| /home/zougmore/annuaire5/app/Traits/HasRoleChecks.php                                                                 | PHP        |         37 |          9 |          7 |         53 |
| /home/zougmore/annuaire5/app/View/Components/AppLayout.php                                                            | PHP        |         11 |          3 |          4 |         18 |
| /home/zougmore/annuaire5/app/View/Components/GuestLayout.php                                                          | PHP        |         11 |          3 |          4 |         18 |
| /home/zougmore/annuaire5/backup.sql                                                                                   | MS SQL     |         32 |          0 |          1 |         33 |
| /home/zougmore/annuaire5/bootstrap/app.php                                                                            | PHP        |         14 |          2 |          3 |         19 |
| /home/zougmore/annuaire5/bootstrap/providers.php                                                                      | PHP        |          5 |          0 |          2 |          7 |
| /home/zougmore/annuaire5/composer.json                                                                                | JSON       |         83 |          0 |          1 |         84 |
| /home/zougmore/annuaire5/composer.lock                                                                                | JSON       |     10,406 |          0 |          1 |     10,407 |
| /home/zougmore/annuaire5/config/app.php                                                                               | PHP        |         23 |         82 |         22 |        127 |
| /home/zougmore/annuaire5/config/auth.php                                                                              | PHP        |         29 |         74 |         14 |        117 |
| /home/zougmore/annuaire5/config/cache.php                                                                             | PHP        |         57 |         34 |         18 |        109 |
| /home/zougmore/annuaire5/config/conges.php                                                                            | PHP        |         36 |          1 |          4 |         41 |
| /home/zougmore/annuaire5/config/database.php                                                                          | PHP        |        109 |         43 |         23 |        175 |
| /home/zougmore/annuaire5/config/dompdf.php                                                                            | PHP        |         33 |        243 |         26 |        302 |
| /home/zougmore/annuaire5/config/excel.php                                                                             | PHP        |        105 |        247 |         29 |        381 |
| /home/zougmore/annuaire5/config/filesystems.php                                                                       | PHP        |         36 |         32 |         13 |         81 |
| /home/zougmore/annuaire5/config/ldap.php                                                                              | PHP        |         26 |          0 |          3 |         29 |
| /home/zougmore/annuaire5/config/logging.php                                                                           | PHP        |         79 |         33 |         21 |        133 |
| /home/zougmore/annuaire5/config/mail.php                                                                              | PHP        |         57 |         43 |         19 |        119 |
| /home/zougmore/annuaire5/config/permission.php                                                                        | PHP        |         34 |        121 |         48 |        203 |
| /home/zougmore/annuaire5/config/queue.php                                                                             | PHP        |         52 |         44 |         17 |        113 |
| /home/zougmore/annuaire5/config/sanctum.php                                                                           | PHP        |         17 |         54 |         14 |         85 |
| /home/zougmore/annuaire5/config/services.php                                                                          | PHP        |         20 |         11 |          8 |         39 |
| /home/zougmore/annuaire5/config/session.php                                                                           | PHP        |         23 |        160 |         35 |        218 |
| /home/zougmore/annuaire5/database/factories/UserFactory.php                                                           | PHP        |         30 |         14 |          6 |         50 |
| /home/zougmore/annuaire5/database/migrations/2025_08_14_125431_create_parametres_table.php                            | PHP        |         24 |          6 |          4 |         34 |
| /home/zougmore/annuaire5/database/migrations/2025_08_14_125512_create_permission_tables.php                           | PHP        |         60 |          6 |          8 |         74 |
| /home/zougmore/annuaire5/database/migrations/2025_08_16_124846_create_cache_table.php                                 | PHP        |         25 |          6 |          5 |         36 |
| /home/zougmore/annuaire5/database/migrations/2025_08_17_132954_create_users_table.php                                 | PHP        |         26 |          3 |          4 |         33 |
| /home/zougmore/annuaire5/database/migrations/2025_08_22_080139_add_photo_to_users_table.php                           | PHP        |         19 |          8 |          5 |         32 |
| /home/zougmore/annuaire5/database/migrations/2025_08_22_201852_add_missing_columns_to_users_table.php                 | PHP        |         27 |          3 |          7 |         37 |
| /home/zougmore/annuaire5/database/migrations/2025_08_23_104147_add_poste_and_date_embauche_to_users_table.php         | PHP        |         24 |          2 |          4 |         30 |
| /home/zougmore/annuaire5/database/migrations/2025_08_23_220446_create_demandes_table.php                              | PHP        |         26 |          6 |          4 |         36 |
| /home/zougmore/annuaire5/database/migrations/2025_08_24_015101_add_motif_to_demandes_table.php                        | PHP        |         21 |          3 |          4 |         28 |
| /home/zougmore/annuaire5/database/migrations/2025_08_24_015658_fix_demandes_table_structure.php                       | PHP        |         17 |          8 |          4 |         29 |
| /home/zougmore/annuaire5/database/migrations/2025_08_24_155332_add_duree_urgence_to_demandes_table.php                | PHP        |         18 |          7 |          4 |         29 |
| /home/zougmore/annuaire5/database/migrations/2025_08_26_092252_add_direction_to_users_table.php                       | PHP        |         19 |          0 |          4 |         23 |
| /home/zougmore/annuaire5/database/migrations/2025_08_26_152421_add_role_to_users_table.php                            | PHP        |         23 |          2 |          5 |         30 |
| /home/zougmore/annuaire5/database/migrations/2025_08_26_162259_add_is_active_to_users_table.php                       | PHP        |         36 |          7 |          4 |         47 |
| /home/zougmore/annuaire5/database/migrations/2025_08_27_232729_add_justificatif_to_demandes_table.php                 | PHP        |         20 |          3 |          4 |         27 |
| /home/zougmore/annuaire5/database/migrations/2025_09_02_084657_add_commentaire_drh_to_demandes_table.php              | PHP        |         27 |          0 |          3 |         30 |
| /home/zougmore/annuaire5/database/migrations/2025_09_03_140930_add_traite_columns_to_demandes_table.php               | PHP        |         21 |          0 |          3 |         24 |
| /home/zougmore/annuaire5/database/migrations/2025_09_06_172032_add_quota_columns_to_demandes_table.php                | PHP        |         44 |          2 |          6 |         52 |
| /home/zougmore/annuaire5/database/migrations/2025_09_11_000347_create_rapports_table_complete.php                     | PHP        |         25 |          3 |          3 |         31 |
| /home/zougmore/annuaire5/database/migrations/2025_09_13_181619_create_types_conges_table.php                          | PHP        |         21 |          8 |          4 |         33 |
| /home/zougmore/annuaire5/database/migrations/2025_09_13_190753_add_sexe_to_users_table.php                            | PHP        |         21 |          3 |          6 |         30 |
| /home/zougmore/annuaire5/database/migrations/2025_09_14_103204_create_password_reset_tokens_table.php                 | PHP        |         19 |          0 |          3 |         22 |
| /home/zougmore/annuaire5/database/migrations/2025_09_14_205709_create_notifications_table.php                         | PHP        |         22 |          6 |          4 |         32 |
| /home/zougmore/annuaire5/database/migrations/2025_09_15_170517_add_jours_disponibles_to_quotas_utilisateurs_table.php | PHP        |         21 |          0 |          3 |         24 |
| /home/zougmore/annuaire5/database/migrations/2025_09_15_233149_create_directions_table.php                            | PHP        |         21 |          6 |          5 |         32 |
| /home/zougmore/annuaire5/database/migrations/2025_09_15_233149_create_postes_table.php                                | PHP        |         19 |          6 |          5 |         30 |
| /home/zougmore/annuaire5/database/migrations/2025_09_15_233553_add_direction_id_and_poste_id_to_users_table.php       | PHP        |         19 |          7 |          5 |         31 |
| /home/zougmore/annuaire5/database/migrations/2025_09_16_030854_update_directions_table.php                            | PHP        |         34 |          4 |          3 |         41 |
| /home/zougmore/annuaire5/database/seeders/CongesTestSeeder.php                                                        | PHP        |         46 |          3 |         10 |         59 |
| /home/zougmore/annuaire5/database/seeders/DatabaseSeeder.php                                                          | PHP        |         25 |          7 |          7 |         39 |
| /home/zougmore/annuaire5/database/seeders/DirectionsTableSeeder.php                                                   | PHP        |         24 |          0 |          5 |         29 |
